;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
1035;2016-06-11;2016-06-17;7;80,26403951969411;58,0
1036;2016-06-18;2016-06-18;1;80,04403839308125;57,0
1037;2016-06-18;2016-06-19;2;82,17739684631573;56,0
1038;2016-06-18;2016-06-20;3;87,46746811761274;55,0
1039;2016-06-18;2016-06-21;4;94,07886346968347;55,0
1040;2016-06-18;2016-06-22;5;93,11930041053343;54,0
1041;2016-06-18;2016-06-23;6;82,315573448592;54,0
1042;2016-06-18;2016-06-24;7;74,67553404773409;53,0
1043;2016-06-25;2016-06-25;1;68,79824012215285;53,0
1044;2016-06-25;2016-06-26;2;64,82200188823943;52,0
1045;2016-06-25;2016-06-27;3;60,96545672101127;52,0
1046;2016-06-25;2016-06-28;4;59,301207189175834;51,0
1047;2016-06-25;2016-06-29;5;58,170936940006456;50,0
1048;2016-06-25;2016-06-30;6;56,78857647075292;50,0
1049;2016-06-25;2016-07-01;7;55,82464194247135;50,0
1050;2016-07-02;2016-07-02;1;54,887892874526344;50,0
1051;2016-07-02;2016-07-03;2;54,924299842459185;49,0
1052;2016-07-02;2016-07-04;3;54,049692571357575;49,0
1053;2016-07-02;2016-07-05;4;54,09611204972773;49,0
1054;2016-07-02;2016-07-06;5;53,232244983670604;48,0
1055;2016-07-02;2016-07-07;6;53,05680477379442;48,0
1056;2016-07-02;2016-07-08;7;52,36334807591233;47,0
1057;2016-07-09;2016-07-09;1;52,14420537432262;46,0
1058;2016-07-09;2016-07-10;2;51,08357276438454;46,0
1059;2016-07-09;2016-07-11;3;50,234108395091994;45,0
1060;2016-07-09;2016-07-12;4;50,322956003973054;45,0
1061;2016-07-09;2016-07-13;5;50,345931421821234;45,0
1062;2016-07-09;2016-07-14;6;50,031118200940845;44,0
1063;2016-07-09;2016-07-15;7;49,309750820428796;44,0
1064;2016-07-16;2016-07-16;1;49,2607105408838;43,0
1065;2016-07-16;2016-07-17;2;49,1071888978675;43,0
1066;2016-07-16;2016-07-18;3;48,37076763395419;42,0
1067;2016-07-16;2016-07-19;4;48,258384747423776;42,0
1068;2016-07-16;2016-07-20;5;47,22165912738169;41,0
1069;2016-07-16;2016-07-21;6;46,37440362830153;41,0
1070;2016-07-16;2016-07-22;7;46,2023177678016;41,0
1071;2016-07-23;2016-07-23;1;45,34629454171319;42,0
1072;2016-07-23;2016-07-24;2;45,37815146944779;42,0
1073;2016-07-23;2016-07-25;3;45,20592465094214;42,0
1074;2016-07-23;2016-07-26;4;44,437029289000314;42,0
1075;2016-07-23;2016-07-27;5;44,286935160561704;42,0
1076;2016-07-23;2016-07-28;6;43,41243667643709;41,0
1077;2016-07-23;2016-07-29;7;43,26008019758296;40,0
1078;2016-07-30;2016-07-30;1;42,51039531593373;40,0
1079;2016-07-30;2016-07-31;2;42,27498303850829;39,0
1080;2016-07-30;2016-08-01;3;41,347851562483065;39,0
1081;2016-07-30;2016-08-02;4;41,38291936532869;39,0
1082;2016-07-30;2016-08-03;5;41,51125165651428;39,0
1083;2016-07-30;2016-08-04;6;42,47756466949876;39,0
1084;2016-07-30;2016-08-05;7;42,393209671956235;38,0
1085;2016-08-06;2016-08-06;1;42,3180407673652;38,0
1086;2016-08-06;2016-08-07;2;42,51370683929458;38,0
1087;2016-08-06;2016-08-08;3;42,31794980940088;37,0
1088;2016-08-06;2016-08-09;4;41,36311010403724;38,0
1089;2016-08-06;2016-08-10;5;40,5810231849822;37,0
1090;2016-08-06;2016-08-11;6;40,10563606526434;37,0
1091;2016-08-06;2016-08-12;7;39,38568050047681;37,0
1092;2016-08-13;2016-08-13;1;39,17822927396655;37,0
1093;2016-08-13;2016-08-14;2;39,41709731267357;37,0
1094;2016-08-13;2016-08-15;3;39,3810051343872;37,0
1095;2016-08-13;2016-08-16;4;39,017151018822325;37,0
1096;2016-08-13;2016-08-17;5;38,78746058643848;37,0
1097;2016-08-13;2016-08-18;6;38,04528717487748;38,0
1098;2016-08-13;2016-08-19;7;38,41122301313361;39,0
1099;2016-08-20;2016-08-20;1;37,62678719373065;39,0
1100;2016-08-20;2016-08-21;2;38,16879944137262;39,0
1101;2016-08-20;2016-08-22;3;38,04380802492572;39,0
1102;2016-08-20;2016-08-23;4;35,980091480380004;43,0
1103;2016-08-20;2016-08-24;5;37,97377774308905;46,0
1104;2016-08-20;2016-08-25;6;37,131358309865064;44,0
1105;2016-08-20;2016-08-26;7;39,143100518951364;43,0
1106;2016-08-27;2016-08-27;1;39,25222788151168;42,0
1107;2016-08-27;2016-08-28;2;37,08325493634115;41,0
1108;2016-08-27;2016-08-29;3;37,01395105378291;40,0
