;dat_reference;dat_previsao;num_termo;val_vaz_pred;val_vaz_true
414;2014-05-31;2014-06-04;5;37,56603048898074;40,0
415;2014-05-31;2014-06-05;6;38,38571893513833;41,0
416;2014-05-31;2014-06-06;7;38,23241818152608;40,0
417;2014-05-31;2014-06-07;8;38,31522870921203;39,0
418;2014-05-31;2014-06-08;9;39,927799459823426;39,0
419;2014-05-31;2014-06-09;10;42,318385140443105;38,0
420;2014-06-07;2014-06-07;1;38,38713034829976;39,0
421;2014-06-07;2014-06-08;2;40,02138191485359;39,0
422;2014-06-07;2014-06-09;3;42,22860561995869;38,0
423;2014-06-07;2014-06-10;4;45,11003461115623;38,0
424;2014-06-07;2014-06-11;5;44,478326539182326;37,0
425;2014-06-07;2014-06-12;6;42,347421687464276;37,0
426;2014-06-07;2014-06-13;7;41,27466895755878;38,0
427;2014-06-07;2014-06-14;8;40,215506223276726;38,0
428;2014-06-07;2014-06-15;9;40,04707209056421;39,0
429;2014-06-07;2014-06-16;10;40,91182584713943;39,0
430;2014-06-14;2014-06-14;1;40,1935230012003;38,0
431;2014-06-14;2014-06-15;2;40,049544088893164;39,0
432;2014-06-14;2014-06-16;3;40,79598076519837;39,0
433;2014-06-14;2014-06-17;4;41,31624199586573;38,0
434;2014-06-14;2014-06-18;5;40,13362630958632;37,0
435;2014-06-14;2014-06-19;6;39,56610121509092;37,0
436;2014-06-14;2014-06-20;7;38,950826939483576;37,0
437;2014-06-14;2014-06-21;8;38,68633103064077;37,0
438;2014-06-14;2014-06-22;9;38,085106011039755;36,0
439;2014-06-14;2014-06-23;10;37,84451211016786;36,0
440;2014-06-21;2014-06-21;1;38,64089612736944;37,0
441;2014-06-21;2014-06-22;2;38,03283749501475;36,0
442;2014-06-21;2014-06-23;3;37,86520374778953;36,0
443;2014-06-21;2014-06-24;4;37,49892718827365;35,0
444;2014-06-21;2014-06-25;5;39,03306796965857;35,0
445;2014-06-21;2014-06-26;6;38,81421772605285;35,0
446;2014-06-21;2014-06-27;7;39,73836037763581;34,0
447;2014-06-21;2014-06-28;8;39,57377147783674;34,0
448;2014-06-21;2014-06-29;9;38,253574292413816;34,0
